accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
9.893194573552384075e-01,7.376890058135772144e-01,-9.793609845395543800e+00
9.995612266176944205e-01,7.433368494010151872e-01,-9.805454040033763974e+00
9.897292237684401917e-01,7.249965070969452974e-01,-9.787923067825611056e+00
9.944466220496340769e-01,7.279300547780054309e-01,-9.798956113348152641e+00
9.860547897339445589e-01,7.136082673236328056e-01,-9.790870240472035135e+00
1.003341527883740536e+00,7.218265970973225532e-01,-9.790218492906662462e+00
1.003677517961713006e+00,7.277819302612122954e-01,-9.795176153208807079e+00
9.949472255737337179e-01,7.278184696289589084e-01,-9.807242737378722097e+00
1.005164738927855961e+00,7.223526575438319330e-01,-9.803108108895257189e+00
1.005958769736279290e+00,7.005892235625824638e-01,-9.807946736140115362e+00
1.008635316771866908e+00,7.093963308606764384e-01,-9.790636642885896634e+00
9.933073136165893047e-01,7.065494935532620202e-01,-9.783958548922546683e+00
9.941700545574316816e-01,7.192598351247313504e-01,-9.799883769896210239e+00
9.876618714087018747e-01,7.076485135549767103e-01,-9.794000709767040291e+00
9.954506552540391962e-01,7.130123035223686623e-01,-9.795011800539887403e+00
9.930935099128771482e-01,7.045708509575238088e-01,-9.793288261057153221e+00
9.835837259000043131e-01,6.982335631393158382e-01,-9.794570388776556058e+00
1.009109525698371534e+00,7.040702444704559637e-01,-9.801177818975521205e+00
9.819791437935025957e-01,7.111801196234874833e-01,-9.807035258789964516e+00
1.002584497591909596e+00,7.080574490446470692e-01,-9.798822728269101390e+00
1.005045694193350325e+00,7.033725915409977381e-01,-9.797901062894975865e+00
9.940121683021829746e-01,6.919029292612880466e-01,-9.788348331453862627e+00
1.009856962709816841e+00,7.144491683187462749e-01,-9.791109183761498969e+00
1.004473540038016699e+00,6.913667733406037019e-01,-9.804197273779067245e+00
9.997021348173116273e-01,6.904733741319446505e-01,-9.803759343451076802e+00
9.978829543517248046e-01,6.950856327930156064e-01,-9.788615159926115084e+00
1.004639485374424046e+00,6.932906147228586891e-01,-9.781930974465437245e+00
9.828696118630244616e-01,7.016238155084867367e-01,-9.782769682616386575e+00
9.814994412714934668e-01,6.916894939380979768e-01,-9.784117792386840762e+00
1.011737633749038690e+00,7.049390813456241078e-01,-9.794670080673412826e+00
9.881982486771661023e-01,6.941375727425145303e-01,-9.781145330746999988e+00
1.008312982381769363e+00,6.705764838209078427e-01,-9.802215755596382252e+00
9.890065709095484658e-01,6.835910515537024779e-01,-9.801677830032124561e+00
9.920318295035006617e-01,6.883323677764623394e-01,-9.800452851485806249e+00
9.843627397473783125e-01,6.832141962817660508e-01,-9.787601334787684237e+00
9.939947979931048616e-01,6.792684577953863601e-01,-9.783563282890638035e+00
9.874524341557439078e-01,6.761235781454626448e-01,-9.782467683663467639e+00
1.013924019287186784e+00,6.705130914838349776e-01,-9.792018983167052326e+00
1.000541353110650622e+00,6.688943053280630435e-01,-9.795263926144375688e+00
9.969209718838945022e-01,6.848003772132192912e-01,-9.794121339425931438e+00
9.944587337760443235e-01,6.640616917330043334e-01,-9.801002775379037857e+00
9.958933819189353942e-01,6.678154763300988561e-01,-9.793862254494836606e+00
9.961869335083944899e-01,6.548815133471037608e-01,-9.791243899625724723e+00
1.008705349395269790e+00,6.702675029045224164e-01,-9.813272247849722518e+00
9.926845818273145605e-01,6.685589507525517838e-01,-9.793297231269439962e+00
9.985242859501921586e-01,6.773716270198477662e-01,-9.793960905887448831e+00
1.004795077676466031e+00,6.758224321639008103e-01,-9.791769704073860936e+00
1.014002694503802093e+00,6.551154140210042609e-01,-9.803001609424935481e+00
9.936627797716768296e-01,6.520266757141526259e-01,-9.782594265300298630e+00
9.976176870320258017e-01,6.416467530989991008e-01,-9.793000280189419371e+00
9.948521992456332841e-01,6.627378575527100857e-01,-9.799864860207858186e+00
1.000198012944900405e+00,6.540090495219046396e-01,-9.786396015260145020e+00
9.772014215461524156e-01,6.731136306807423697e-01,-9.799379884621052028e+00
1.005064345155951777e+00,6.568512779214886743e-01,-9.796534033631344229e+00
1.000182912233952504e+00,6.437276032265480952e-01,-9.800282075436681950e+00
9.999086851662783992e-01,6.481492523672995887e-01,-9.789521864168852616e+00
