ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
1.188230904489278483e+00,3.482887784241165630e+00,0.000000000000000000e+00
1.185430682931427171e+00,3.494403253198530734e+00,0.000000000000000000e+00
1.182626004962177957e+00,3.505908688540952500e+00,0.000000000000000000e+00
1.179817005386303297e+00,3.517404132851531529e+00,0.000000000000000000e+00
1.177003817650203565e+00,3.528889628939474665e+00,0.000000000000000000e+00
1.174186573851837556e+00,3.540365219830550192e+00,0.000000000000000000e+00
1.171365404750624117e+00,3.551830948757716655e+00,0.000000000000000000e+00
1.168540439777306927e+00,3.563286859151924446e+00,0.000000000000000000e+00
1.165711807043791071e+00,3.574732994633085692e+00,0.000000000000000000e+00
1.162879633352941422e+00,3.586169399001203573e+00,0.000000000000000000e+00
1.160044044208350389e+00,3.597596116227676166e+00,0.000000000000000000e+00
1.157205163824065464e+00,3.609013190446751285e+00,0.000000000000000000e+00
1.154363115134285467e+00,3.620420665947147398e+00,0.000000000000000000e+00
